"FOMC Dissent Data Appendix to ""Making Sense of Dissents: A History of FOMC Dissents."" Federal Reserve Bank of St. Louis Review, Third Quarter 2014 Vol. 96, No. 3",,,,,,,,,,,,,,,,,,,,,
Authors: Daniel L. Thornton and David C. Wheelock,,,,,,,,,,,,,,,,,,,,,
NOTE: This file was last updated 11/10/2018.,,,,,,,,,,,,,,,,,,,,,
Year,FOMC Meeting,Chair,Dissent (Y or N),FOMC Votes,Votes for Action,Votes Against Action,Number Governors Dissenting,Number Presidents Dissenting,No. Governors for Tighter,No. Governors for Easier,No. Presidents for Tighter,No. Presidents for Easier,Dissenters Tighter,Dissenters Easier,Dissenters Other/Indeterminate,,,,,,
1936,03/19/36,Eccles,N,9,9,0,0,0,,,,,,,,,,,,,
1936,05/25/36,Eccles,N,9,9,0,0,0,,,,,,,,,,,,,
1936,11/20/36,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1937,01/26/37,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1937,03/15/37,Eccles,N,8,8,0,0,0,,,,,,,,,,,,,
1937,04/04/37,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1937,05/05/37,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1937,06/09/37,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1937,11/12/37,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1937,12/01/37,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1938,03/01/38,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1938,04/22/38,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1938,04/29/38,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1938,08/02/38,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1938,09/21/38,Eccles,N,9,9,0,0,0,,,,,,,,,,,,,
1938,12/30/38,Eccles,Y,11,8,3,3,0,,,,,,,"Eccles, Ransom, Draper",,,,,,
1939,03/07/39,Eccles,Y,11,8,3,3,0,,,,,,,"Eccles, Ransom, Draper",,,,,,
