DATE,DPCCRC1M027SBEA_PCH
1959-02-01,1.71403
1959-03-01,1.81818
1959-04-01,-0.13066
1959-05-01,1.09027
1959-06-01,0.64711
1959-07-01,-0.04286
1959-08-01,0.94340
1959-09-01,1.65675
1959-10-01,-0.91935
1959-11-01,0.16871
1959-12-01,-0.16842
1960-01-01,0.67482
1960-02-01,0.87977
1960-03-01,0.99668
1960-04-01,2.22039
1960-05-01,-2.09171
1960-06-01,-0.08217
1960-07-01,0.37007
1960-08-01,0.40967
1960-09-01,0.69359
1960-10-01,0.68882
1960-11-01,-0.60362
1960-12-01,-1.21457
1961-01-01,0.08197
1961-02-01,0.65520
1961-03-01,1.54597
1961-04-01,-0.32051
1961-05-01,1.04502
1961-06-01,0.31822
1961-07-01,0.27756
1961-08-01,0.35587
1961-09-01,0.74862
1961-10-01,1.01682
1961-11-01,1.20015
1961-12-01,0.80337
1962-01-01,0.26565
1962-02-01,-0.03785
1962-03-01,1.13593
1962-04-01,0.78622
1962-05-01,0.96582
1962-06-01,-0.44150
1962-07-01,0.40650
1962-08-01,0.25764
1962-09-01,1.68869
1962-10-01,-0.64982
1962-11-01,1.78052
1962-12-01,0.64263
1963-01-01,-0.07095
1963-02-01,-0.24849
1963-03-01,0.67616
1963-04-01,0.74231
1963-05-01,0.07018
1963-06-01,1.61290
1963-07-01,0.58661
1963-08-01,0.24014
1963-09-01,0.20534
1963-10-01,0.17077
1963-11-01,0.95465
1963-12-01,1.45221
1964-01-01,0.56591
1964-02-01,1.02615
1964-03-01,0.29489
1964-04-01,0.26135
1964-05-01,1.59661
1964-06-01,0.67351
1964-07-01,0.86015
1964-08-01,0.60013
1964-09-01,-0.28257
1964-10-01,0.69270
1964-11-01,-0.59412
1964-12-01,0.62913
1965-01-01,1.46921
1965-02-01,1.72520
1965-03-01,0.69655
1965-04-01,0.69173
1965-05-01,-0.02987
1965-06-01,-1.07559
1965-07-01,1.35911
1965-08-01,1.04291
1965-09-01,2.35919
1965-10-01,0.57620
1965-11-01,0.51561
1965-12-01,0.31348
1966-01-01,0.99432
1966-02-01,1.12518
1966-03-01,1.11266
1966-04-01,0.16506
1966-05-01,-0.90634
1966-06-01,0.58204
1966-07-01,1.07468
1966-08-01,0.79062
1966-09-01,1.40655
1966-10-01,-0.05335
1966-11-01,0.29357
1966-12-01,0.34593
1967-01-01,0.60992
1967-02-01,-0.52715
1967-03-01,0.87440
1967-04-01,1.36590
1967-05-01,0.05183
1967-06-01,1.03600
1967-07-01,0.17944
1967-08-01,0.66530
1967-09-01,1.19471
1967-10-01,-0.80382
1967-11-01,0.93695
1967-12-01,1.45509
1968-01-01,1.53314
1968-02-01,0.51145
1968-03-01,1.98692
1968-04-01,0.14255
1968-05-01,1.18624
1968-06-01,1.07855
1968-07-01,1.39179
1968-08-01,0.59483
1968-09-01,0.38663
1968-10-01,0.67966
1968-11-01,0.65257
1968-12-01,0.20121
1969-01-01,1.13788
1969-02-01,0.90448
1969-03-01,-0.06559
1969-04-01,1.11573
1969-05-01,0.95197
1969-06-01,0.27861
1969-07-01,0.12823
1969-08-01,1.17396
1969-09-01,0.82278
1969-10-01,0.56497
1969-11-01,0.31211
1969-12-01,0.33188
1970-01-01,0.51685
1970-02-01,1.25463
1970-03-01,-0.54845
1970-04-01,0.79657
1970-05-01,1.03343
1970-06-01,0.62174
1970-07-01,0.41858
1970-08-01,0.75427
1970-09-01,0.76832
1970-10-01,0.03910
1970-11-01,-0.56674
1970-12-01,1.27752
1971-01-01,2.23171
1971-02-01,0.58846
1971-03-01,0.56614
1971-04-01,0.93826
1971-05-01,0.46477
1971-06-01,1.33235
1971-07-01,0.05478
1971-08-01,1.04034
1971-09-01,1.24639
1971-10-01,0.41035
1971-11-01,0.81734
1971-12-01,1.14558
1972-01-01,0.94093
1972-02-01,0.22441
1972-03-01,1.70513
1972-04-01,0.42337
1972-05-01,0.69140
1972-06-01,0.63641
1972-07-01,1.14828
1972-08-01,0.78973
1972-09-01,0.52236
1972-10-01,1.70510
1972-11-01,0.71851
1972-12-01,0.72923
1973-01-01,1.51086
1973-02-01,1.14729
1973-03-01,0.98099
1973-04-01,0.21251
1973-05-01,0.59073
1973-06-01,0.21081
1973-07-01,0.67618
1973-08-01,0.00000
1973-09-01,1.97015
1973-10-01,-0.30738
1973-11-01,0.71942
1973-12-01,-0.10204
1974-01-01,0.74420
1974-02-01,0.17381
1974-03-01,1.27241
1974-04-01,0.89949
1974-05-01,1.21692
1974-06-01,0.40542
1974-07-01,0.91896
1974-08-01,1.90397
1974-09-01,-0.27078
1974-10-01,0.13576
1974-11-01,-0.27115
1974-12-01,0.61175
1975-01-01,1.82408
1975-02-01,1.64544
1975-03-01,-0.22193
1975-04-01,0.31401
1975-05-01,2.77814
1975-06-01,0.78680
1975-07-01,1.04508
1975-08-01,0.61059
1975-09-01,1.01561
1975-10-01,0.76018
1975-11-01,1.88610
1975-12-01,1.55261
1976-01-01,1.08197
1976-02-01,0.63991
1976-03-01,0.63584
1976-04-01,1.01091
1976-05-01,-0.47765
1976-06-01,1.58839
1976-07-01,1.01237
1976-08-01,0.56793
1976-09-01,0.96335
1976-10-01,0.44966
1976-11-01,1.02631
1976-12-01,2.05339
1977-01-01,-0.10590
1977-02-01,1.98240
1977-03-01,1.14345
1977-04-01,0.51387
1977-05-01,0.70552
1977-06-01,0.42644
1977-07-01,1.40532
1977-08-01,0.60818
1977-09-01,0.81261
1977-10-01,1.18942
1977-11-01,1.30173
1977-12-01,0.81511
1978-01-01,-0.63731
1978-02-01,1.81888
1978-03-01,1.91801
1978-04-01,1.76199
1978-05-01,1.01532
1978-06-01,1.13973
1978-07-01,0.11535
1978-08-01,1.52442
1978-09-01,0.15714
1978-10-01,1.18539
1978-11-01,0.75803
1978-12-01,0.95751
1979-01-01,0.00000
1979-02-01,0.64358
1979-03-01,1.32941
1979-04-01,0.38196
1979-05-01,1.23253
1979-06-01,0.45759
1979-07-01,1.12250
1979-08-01,1.48810
1979-09-01,0.87977
1979-10-01,0.40069
1979-11-01,0.89991
1979-12-01,0.46533
1980-01-01,2.00710
1980-02-01,-0.43136
1980-03-01,-0.40283
1980-04-01,-0.61813
1980-05-01,0.41465
1980-06-01,1.16999
1980-07-01,2.01814
1980-08-01,0.84463
1980-09-01,1.30042
1980-10-01,2.32811
1980-11-01,0.60954
1980-12-01,1.21874
1981-01-01,0.80735
1981-02-01,1.16680
1981-03-01,0.81212
1981-04-01,0.10831
1981-05-01,0.22992
1981-06-01,0.87033
1981-07-01,0.84944
1981-08-01,1.64478
1981-09-01,-0.12397
1981-10-01,-0.43771
1981-11-01,0.64304
1981-12-01,0.55418
1982-01-01,0.44738
1982-02-01,1.60083
1982-03-01,0.36213
1982-04-01,0.14560
1982-05-01,1.39697
1982-06-01,-0.18702
1982-07-01,1.26163
1982-08-01,0.71548
1982-09-01,1.35342
1982-10-01,0.97281
1982-11-01,1.36437
1982-12-01,1.00360
1983-01-01,0.95271
1983-02-01,0.24317
1983-03-01,0.90678
1983-04-01,1.11041
1983-05-01,1.16615
1983-06-01,1.36534
1983-07-01,1.26415
1983-08-01,0.59965
1983-09-01,0.99165
1983-10-01,1.26630
1983-11-01,0.48747
1983-12-01,0.63802
1984-01-01,1.65042
1984-02-01,0.02062
1984-03-01,0.37104
1984-04-01,1.25276
1984-05-01,0.85695
1984-06-01,0.94520
1984-07-01,0.19424
1984-08-01,0.77049
1984-09-01,0.81886
1984-10-01,0.06361
1984-11-01,1.50604
1984-12-01,1.01643
1985-01-01,1.03481
1985-02-01,1.00061
1985-03-01,0.76639
1985-04-01,0.29680
1985-05-01,1.61835
1985-06-01,-0.30031
1985-07-01,1.13642
1985-08-01,1.54332
1985-09-01,1.67541
1985-10-01,-1.49919
1985-11-01,0.46148
1985-12-01,0.96731
1986-01-01,1.23365
1986-02-01,-0.14260
1986-03-01,0.48901
1986-04-01,1.15843
1986-05-01,0.77480
1986-06-01,-0.10983
1986-07-01,0.92616
1986-08-01,1.25707
1986-09-01,2.68984
1986-10-01,-1.57566
1986-11-01,-0.28660
1986-12-01,2.87017
1987-01-01,-2.50269
1987-02-01,2.33358
1987-03-01,0.38406
1987-04-01,0.91264
1987-05-01,0.20141
1987-06-01,0.89863
1987-07-01,0.84375
1987-08-01,1.28990
1987-09-01,-0.00382
1987-10-01,0.05737
1987-11-01,0.59626
1987-12-01,1.03727
1988-01-01,1.15072
1988-02-01,0.43498
1988-03-01,1.11049
1988-04-01,0.14278
1988-05-01,0.97975
1988-06-01,0.69872
1988-07-01,0.68668
1988-08-01,0.67486
1988-09-01,0.57457
1988-10-01,0.97330
1988-11-01,0.67405
1988-12-01,1.08929
1989-01-01,0.85450
1989-02-01,-0.68733
1989-03-01,0.61671
1989-04-01,1.21565
1989-05-01,0.06729
1989-06-01,0.61189
1989-07-01,0.64492
1989-08-01,1.07905
1989-09-01,-0.01642
